  
       XFOIL         Version 6.99
  
 Calculated polar for: NASA/LANGLEY NLF 0414F AIRFOIL                  
   5.000   0.8930   0.00766   0.00323  -0.0817   0.0265   0.7267
   5.100   0.9041   0.00772   0.00330  -0.0818   0.0262   0.7267
   5.200   0.9152   0.00779   0.00336  -0.0819   0.0259   0.7267
   5.300   0.9263   0.00786   0.00342  -0.0820   0.0255   0.7268
   5.400   0.9372   0.00793   0.00348  -0.0821   0.0250   0.7268
   5.500   0.9481   0.00801   0.00355  -0.0822   0.0241   0.7268
   5.600   0.9591   0.00808   0.00360  -0.0823   0.0232   0.7268
   5.700   0.9699   0.00816   0.00366  -0.0824   0.0223   0.7268
   5.800   0.9808   0.00822   0.00371  -0.0825   0.0214   0.7268
   5.900   0.9917   0.00829   0.00376  -0.0826   0.0205   0.7268
   6.000   1.0027   0.00835   0.00381  -0.0827   0.0197   0.7268
   6.100   1.0136   0.00841   0.00388  -0.0828   0.0191   0.7268
   6.200   1.0245   0.00847   0.00393  -0.0829   0.0182   0.7268
   6.300   1.0354   0.00854   0.00399  -0.0830   0.0173   0.7268
   6.400   1.0463   0.00860   0.00404  -0.0830   0.0164   0.7268
   6.500   1.0571   0.00867   0.00410  -0.0831   0.0158   0.7268
   6.600   1.0679   0.00873   0.00416  -0.0832   0.0156   0.7268
   6.700   1.0787   0.00880   0.00422  -0.0833   0.0156   0.7268
   6.800   1.0895   0.00886   0.00428  -0.0834   0.0155   0.7268
   6.900   1.1003   0.00893   0.00435  -0.0834   0.0155   0.7268
   7.000   1.1110   0.00900   0.00441  -0.0835   0.0155   0.7268
   7.100   1.1217   0.00907   0.00447  -0.0836   0.0154   0.7268
   7.200   1.1323   0.00914   0.00454  -0.0836   0.0154   0.7268
   7.300   1.1429   0.00921   0.00461  -0.0837   0.0154   0.7268
   7.400   1.1535   0.00928   0.00467  -0.0837   0.0154   0.7268
   7.500   1.1640   0.00936   0.00474  -0.0838   0.0154   0.7268
   7.600   1.1746   0.00943   0.00481  -0.0838   0.0153   0.7268
   7.700   1.1850   0.00950   0.00488  -0.0839   0.0153   0.7269
   7.800   1.1955   0.00958   0.00495  -0.0839   0.0153   0.7269
   7.900   1.2059   0.00965   0.00502  -0.0839   0.0153   0.7269
   8.000   1.2163   0.00973   0.00509  -0.0840   0.0152   0.7269
   8.100   1.2266   0.00980   0.00516  -0.0840   0.0152   0.7269
   8.200   1.2369   0.00988   0.00523  -0.0840   0.0152   0.7269
   8.300   1.2472   0.00995   0.00531  -0.0841   0.0152   0.7268
   8.400   1.2575   0.01003   0.00538  -0.0841   0.0152   0.7268
   8.500   1.2677   0.01010   0.00546  -0.0841   0.0151   0.7268
   8.600   1.2778   0.01018   0.00553  -0.0841   0.0151   0.7268
   8.700   1.2879   0.01027   0.00561  -0.0841   0.0151   0.7268
   8.800   1.2979   0.01035   0.00569  -0.0841   0.0151   0.7268
   8.900   1.3079   0.01044   0.00577  -0.0841   0.0150   0.7268
   9.000   1.3177   0.01053   0.00586  -0.0841   0.0150   0.7268
   9.100   1.3260   0.01064   0.00597  -0.0838   0.0150   0.7268
   9.200   1.3342   0.01076   0.00608  -0.0835   0.0149   0.7268
   9.300   1.3434   0.01088   0.00620  -0.0835   0.0149   0.7268
   9.400   1.3528   0.01101   0.00633  -0.0834   0.0149   0.7268
   9.500   1.3621   0.01114   0.00646  -0.0834   0.0149   0.7268
   9.600   1.3714   0.01126   0.00658  -0.0833   0.0148   0.7268
   9.700   1.3806   0.01138   0.00670  -0.0832   0.0148   0.7268
   9.800   1.3898   0.01151   0.00682  -0.0831   0.0147   0.7268
   9.900   1.3988   0.01165   0.00696  -0.0831   0.0147   0.7268
  10.000   1.4078   0.01180   0.00710  -0.0829   0.0146   0.7268
  10.100   1.4166   0.01194   0.00724  -0.0828   0.0146   0.7268
  10.200   1.4255   0.01207   0.00737  -0.0827   0.0145   0.7268
  10.300   1.4343   0.01221   0.00750  -0.0825   0.0144   0.7268
  10.400   1.4431   0.01234   0.00764  -0.0824   0.0143   0.7268
  10.500   1.4519   0.01248   0.00777  -0.0822   0.0142   0.7268
  10.600   1.4605   0.01263   0.00791  -0.0820   0.0140   0.7268
  10.700   1.4690   0.01278   0.00806  -0.0818   0.0138   0.7268
  10.800   1.4772   0.01296   0.00824  -0.0816   0.0136   0.7268
  10.900   1.4849   0.01316   0.00843  -0.0813   0.0133   0.7268
  11.000   1.4926   0.01335   0.00862  -0.0811   0.0130   0.7268
  11.100   1.5001   0.01355   0.00881  -0.0807   0.0125   0.7268
  11.200   1.5075   0.01375   0.00899  -0.0804   0.0120   0.7268
  11.300   1.5150   0.01395   0.00918  -0.0800   0.0114   0.7268
  11.400   1.5227   0.01414   0.00936  -0.0797   0.0107   0.7268
  11.500   1.5307   0.01431   0.00953  -0.0794   0.0104   0.7268
  11.600   1.5387   0.01449   0.00969  -0.0792   0.0099   0.7268
  11.700   1.5468   0.01465   0.00985  -0.0789   0.0095   0.7268
  11.800   1.5547   0.01483   0.01002  -0.0786   0.0085   0.7268
  11.900   1.5631   0.01497   0.01017  -0.0784   0.0088   0.7268
  12.000   1.5712   0.01514   0.01033  -0.0782   0.0083   0.7268
  12.100   1.5791   0.01531   0.01050  -0.0779   0.0076   0.7268
  12.200   1.5865   0.01551   0.01070  -0.0776   0.0075   0.7268
  12.300   1.5927   0.01577   0.01096  -0.0771   0.0075   0.7268
  12.400   1.5994   0.01600   0.01119  -0.0767   0.0075   0.7268
  12.500   1.6066   0.01620   0.01139  -0.0763   0.0074   0.7268
  12.600   1.6140   0.01639   0.01158  -0.0760   0.0074   0.7268
  12.700   1.6215   0.01657   0.01177  -0.0757   0.0074   0.7268
  12.800   1.6292   0.01675   0.01195  -0.0754   0.0074   0.7268
  12.900   1.6368   0.01693   0.01213  -0.0751   0.0074   0.7268
  13.000   1.6444   0.01711   0.01231  -0.0748   0.0074   0.7268
  13.100   1.6521   0.01729   0.01249  -0.0745   0.0074   0.7268
  13.200   1.6597   0.01748   0.01267  -0.0742   0.0074   0.7268
  13.300   1.6673   0.01766   0.01286  -0.0739   0.0074   0.7268
  13.400   1.6749   0.01784   0.01305  -0.0736   0.0074   0.7268
  13.500   1.6824   0.01802   0.01323  -0.0733   0.0074   0.7268
  13.600   1.6899   0.01821   0.01342  -0.0730   0.0073   0.7268
  13.700   1.6973   0.01840   0.01361  -0.0727   0.0073   0.7268
  13.800   1.7047   0.01859   0.01380  -0.0723   0.0073   0.7268
  13.900   1.7120   0.01879   0.01400  -0.0720   0.0073   0.7268
  14.000   1.7193   0.01898   0.01420  -0.0717   0.0073   0.7268
  14.100   1.7265   0.01919   0.01440  -0.0713   0.0073   0.7268
  14.200   1.7335   0.01939   0.01461  -0.0710   0.0073   0.7268
  14.300   1.7369   0.01979   0.01502  -0.0702   0.0073   0.7268
  14.400   1.7409   0.02014   0.01538  -0.0695   0.0073   0.7268
  14.500   1.7467   0.02040   0.01564  -0.0690   0.0073   0.7268
  14.600   1.7530   0.02064   0.01589  -0.0686   0.0073   0.7268
  14.700   1.7595   0.02088   0.01612  -0.0682   0.0073   0.7268
  14.800   1.7661   0.02110   0.01635  -0.0678   0.0073   0.7268
  14.900   1.7728   0.02133   0.01658  -0.0674   0.0072   0.7268
  15.000   1.7796   0.02155   0.01681  -0.0670   0.0072   0.7268
  15.100   1.7863   0.02177   0.01703  -0.0667   0.0072   0.7268
  15.200   1.7931   0.02200   0.01726  -0.0663   0.0072   0.7268
  15.300   1.7998   0.02222   0.01749  -0.0659   0.0072   0.7268
  15.400   1.8065   0.02245   0.01772  -0.0655   0.0072   0.7268
  15.500   1.8132   0.02268   0.01795  -0.0652   0.0072   0.7268
  15.600   1.8198   0.02291   0.01818  -0.0648   0.0072   0.7268
  15.700   1.8264   0.02314   0.01842  -0.0644   0.0072   0.7268
  15.800   1.8329   0.02338   0.01866  -0.0640   0.0072   0.7268
  15.900   1.8394   0.02362   0.01891  -0.0636   0.0072   0.7269
  16.000   1.8458   0.02386   0.01915  -0.0633   0.0071   0.7269
  16.100   1.8521   0.02411   0.01941  -0.0628   0.0071   0.7269
  16.200   1.8583   0.02437   0.01967  -0.0625   0.0071   0.7269
  16.300   1.8646   0.02463   0.01994  -0.0621   0.0071   0.7269
  16.400   1.8708   0.02489   0.02021  -0.0617   0.0071   0.7269
  16.500   1.8769   0.02516   0.02048  -0.0613   0.0071   0.7269
  16.600   1.8827   0.02545   0.02078  -0.0608   0.0071   0.7269
  16.700   1.8812   0.02623   0.02158  -0.0598   0.0071   0.7269
  16.800   1.8857   0.02662   0.02198  -0.0593   0.0071   0.7269
  16.900   1.8909   0.02695   0.02231  -0.0588   0.0070   0.7269
  17.000   1.8963   0.02725   0.02262  -0.0583   0.0070   0.7269
  17.100   1.9018   0.02754   0.02291  -0.0579   0.0070   0.7269
  17.200   1.9073   0.02784   0.02321  -0.0574   0.0070   0.7269
  17.300   1.9130   0.02813   0.02351  -0.0570   0.0070   0.7269
  17.400   1.9191   0.02841   0.02379  -0.0566   0.0070   0.7269
  17.500   1.9250   0.02869   0.02409  -0.0563   0.0070   0.7269
  17.600   1.9309   0.02899   0.02438  -0.0559   0.0070   0.7269
  17.700   1.9367   0.02929   0.02469  -0.0555   0.0069   0.7269
  17.800   1.9425   0.02959   0.02500  -0.0551   0.0069   0.7269
  17.900   1.9482   0.02991   0.02532  -0.0547   0.0069   0.7269
  18.000   1.9540   0.03022   0.02564  -0.0543   0.0069   0.7269
  18.100   1.9596   0.03055   0.02597  -0.0540   0.0068   0.7269
  18.200   1.9651   0.03088   0.02631  -0.0536   0.0068   0.7269
  18.300   1.9707   0.03122   0.02665  -0.0532   0.0068   0.7269
  18.400   1.9764   0.03154   0.02698  -0.0528   0.0068   0.7269
  18.500   1.9816   0.03191   0.02735  -0.0524   0.0068   0.7270
  18.600   1.9871   0.03225   0.02770  -0.0521   0.0068   0.7270
  18.700   1.9918   0.03265   0.02810  -0.0516   0.0067   0.7270
  18.800   1.9965   0.03305   0.02851  -0.0512   0.0067   0.7270
  18.900   2.0003   0.03352   0.02900  -0.0507   0.0066   0.7270
  19.000   1.9976   0.03455   0.03005  -0.0498   0.0067   0.7270
  19.100   2.0001   0.03515   0.03066  -0.0493   0.0066   0.7270
  19.200   2.0041   0.03564   0.03115  -0.0488   0.0065   0.7270
  19.300   2.0093   0.03602   0.03155  -0.0485   0.0066   0.7270
  19.400   2.0131   0.03651   0.03204  -0.0481   0.0064   0.7270
  19.500   2.0179   0.03692   0.03245  -0.0477   0.0064   0.7270
  19.600   1.9942   0.03953   0.03504  -0.0448   0.0033   0.7270
  19.800   1.9990   0.04076   0.03626  -0.0438   0.0024   0.7270
  20.000   2.0038   0.04200   0.03752  -0.0428   0.0022   0.7270
  20.100   1.9953   0.04355   0.03910  -0.0418   0.0021   0.7270
  20.200   2.0023   0.04381   0.03937  -0.0417   0.0023   0.7270
  20.300   2.0007   0.04475   0.04033  -0.0410   0.0021   0.7270
  20.400   2.0025   0.04543   0.04102  -0.0405   0.0021   0.7270
  20.500   2.0044   0.04612   0.04172  -0.0401   0.0020   0.7270
  20.600   2.0081   0.04665   0.04226  -0.0397   0.0021   0.7270
  20.700   2.0068   0.04763   0.04326  -0.0391   0.0019   0.7270
  20.800   2.0086   0.04835   0.04400  -0.0387   0.0019   0.7271
  20.900   2.0041   0.04966   0.04533  -0.0380   0.0017   0.7271
  21.000   2.0012   0.05097   0.04666  -0.0376   0.0017   0.7271
  21.100   1.9976   0.05231   0.04803  -0.0371   0.0017   0.7271
  21.200   1.9985   0.05320   0.04893  -0.0367   0.0016   0.7271
  21.300   1.9985   0.05416   0.04990  -0.0364   0.0016   0.7271
  21.400   2.0035   0.05463   0.05038  -0.0363   0.0016   0.7271
  21.500   1.9997   0.05598   0.05176  -0.0357   0.0015   0.7271
  21.600   1.9974   0.05719   0.05299  -0.0353   0.0014   0.7271
  21.700   1.9997   0.05800   0.05382  -0.0352   0.0015   0.7271
  21.800   1.9894   0.06022   0.05607  -0.0348   0.0014   0.7271
  21.900   1.9892   0.06125   0.05712  -0.0346   0.0014   0.7271
  22.000   1.9867   0.06253   0.05841  -0.0344   0.0013   0.7271
  22.100   1.9887   0.06334   0.05924  -0.0342   0.0013   0.7271
  22.200   1.9876   0.06449   0.06041  -0.0340   0.0012   0.7271
  22.300   1.9870   0.06562   0.06156  -0.0339   0.0012   0.7271
  22.400   1.9806   0.06756   0.06354  -0.0340   0.0012   0.7271
  22.500   1.9749   0.06928   0.06528  -0.0338   0.0011   0.7271
  22.600   1.9784   0.06994   0.06596  -0.0338   0.0012   0.7271
  22.700   1.9768   0.07117   0.06720  -0.0338   0.0011   0.7271
  22.800   1.9755   0.07237   0.06843  -0.0337   0.0011   0.7271
  22.900   1.9756   0.07345   0.06952  -0.0337   0.0011   0.7271
  23.000   1.9636   0.07617   0.07228  -0.0340   0.0011   0.7272
  23.100   1.9608   0.07760   0.07373  -0.0341   0.0010   0.7272
  23.200   1.9581   0.07901   0.07517  -0.0342   0.0009   0.7272
  23.300   1.9587   0.08005   0.07625  -0.0343   0.0009   0.7457
  23.400   1.9576   0.08123   0.07745  -0.0344   0.0010   0.7464
  23.500   1.9423   0.08427   0.08055  -0.0350   0.0009   0.7466
  23.600   1.9408   0.08552   0.08181  -0.0351   0.0009   0.7472
  23.700   1.9387   0.08683   0.08315  -0.0353   0.0009   0.7476
  23.800   1.9359   0.08827   0.08461  -0.0355   0.0008   0.7481
  23.900   1.9255   0.09090   0.08729  -0.0362   0.0009   0.7484
  24.000   1.9187   0.09302   0.08944  -0.0368   0.0008   0.7489
  24.100   1.9165   0.09447   0.09091  -0.0371   0.0008   0.7493
  24.200   1.9146   0.09587   0.09233  -0.0375   0.0008   0.7498
  24.300   1.9101   0.09763   0.09412  -0.0379   0.0007   0.7500
  24.400   1.8951   0.10115   0.09769  -0.0392   0.0008   0.7502
  24.500   1.8933   0.10259   0.09916  -0.0397   0.0008   0.7506
  24.600   1.8889   0.10439   0.10098  -0.0403   0.0007   0.7509
  24.700   1.8854   0.10606   0.10268  -0.0409   0.0007   0.7513
  24.800   1.8676   0.11009   0.10676  -0.0426   0.0007   0.7515
  24.900   1.8639   0.11184   0.10855  -0.0433   0.0007   0.7518
  25.000   1.8597   0.11366   0.11039  -0.0440   0.0007   0.7520
  25.100   1.8565   0.11533   0.11208  -0.0447   0.0007   0.7524
  25.200   1.8371   0.11972   0.11654  -0.0469   0.0007   0.7525
  25.300   1.8323   0.12166   0.11851  -0.0478   0.0007   0.7527
  25.400   1.8282   0.12349   0.12036  -0.0487   0.0007   0.7530
  25.600   1.8020   0.13027   0.12724  -0.0523   0.0006   0.7532
  25.700   1.7982   0.13208   0.12908  -0.0533   0.0007   0.7534
  25.800   1.7763   0.13708   0.13414  -0.0562   0.0007   0.7535
  25.900   1.7688   0.13953   0.13662  -0.0576   0.0006   0.7537
  26.000   1.7623   0.14182   0.13894  -0.0590   0.0006   0.7539
  26.200   1.7318   0.14964   0.14686  -0.0638   0.0006   0.7541
  26.300   1.7256   0.15195   0.14921  -0.0653   0.0006   0.7542
  26.700   1.6582   0.16795   0.16544  -0.0776   0.0007   0.7545
  26.900   1.6161   0.17827   0.17589  -0.0854   0.0008   0.7544
